,Armor,Armor Value,Config,Engine Size,Engine Type,Era,Heat Sinks,Mass,Myomer,Name,Rules Level,Source,Speeds,Structure,TechBase,Variant,Weapons
Ti Ts'ang TSG-9H,Standard(Inner Sphere),200,Biped,360, XL Engine,3059,13 Double,60,Triple-Strength,Ti Ts'ang,2,TRO 3060,"{'Walk': 6, 'Run': 9, 'Jump': '6'}",Endo Steel,Inner Sphere,TSG-9H,"['10', ['ER Medium Laser, Left Arm', 'ER Small Laser, Left Arm', 'ER Small Laser, Left Arm', 'ER Small Laser, Left Arm', 'ER Small Laser, Left Arm', 'ER Medium Laser, Left Torso', 'ER Medium Laser, Left Torso', 'ER Medium Laser, Right Torso', 'ER Medium Laser, Right Torso', 'TAG, Center Torso']]"
Ti Ts'ang TSG-9C,Standard(Inner Sphere),200,Biped,360, XL Engine,3069,10 Double,60,Triple-Strength,Ti Ts'ang,2,TRO 3060,"{'Walk': 6, 'Run': 9, 'Jump': '6'}",Endo Steel,Inner Sphere,TSG-9C,"['5', ['Plasma Rifle, Left Arm', 'ER Medium Laser, Right Torso', 'ER Medium Laser, Right Torso', 'ER Small Laser, Center Torso', 'ER Small Laser, Head']]"
Ti Ts'ang DDC TSG9-DDC,Standard(Inner Sphere),184,Biped,360, XL Engine(IS),3083,10 Double,60,Triple-Strength,Ti Ts'ang,4,,"{'Walk': 6, 'Run': 9, 'Jump': '6'}",Endo Steel,Inner Sphere,TSG-9DDC,"['9', ['ER Medium Laser, Left Arm', 'Small X-Pulse Laser, Left Arm', 'Small X-Pulse Laser, Left Arm', 'Small X-Pulse Laser, Left Arm', 'Small X-Pulse Laser, Left Arm', 'ER Medium Laser, Left Torso', 'ER Medium Laser, Left Torso', 'ER Medium Laser, Right Torso', 'ER Medium Laser, Right Torso']]"
Ostsol OTL-8D,Heavy Ferro-Fibrous(Inner Sphere),201,Biped,300, Light Engine,3069,10 Double,60,Standard,Ostsol,2,Jihad,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",Standard,Inner Sphere,OTL-8D,"['5', ['Light Auto Cannon/5, Left Torso', 'ER Medium Laser, Left Torso', 'Light Auto Cannon/5, Right Torso', 'ER Medium Laser, Right Torso', 'Light PPC, Center Torso']]"
Thresher 2,Standard(Clan),152,Biped,300, XL (Clan) Engine,2858,13 Double,60,Standard,Thresher,2,TRO 3058 - Succession Wars,"{'Walk': 5, 'Run': 8, 'Jump': '5'}",Endo Steel,Clan,2,"['6', ['SRM 6, Left Arm', 'ER Large Laser, Left Arm', 'SRM 6, Right Arm', 'ER Large Laser, Right Arm', 'ER Medium Laser, Left Torso', 'LB 5-X AC, Right Torso']]"
Quickdraw QKD-5K2,Ferro-Fibrous(Inner Sphere),143,Biped,300, Fusion Engine(IS),3057,17 Double,60,Standard,Quickdraw,2,TRO 3050 - Clan Invasion,"{'Walk': 5, 'Run': 8, 'Jump': '5'}",IS Standard,Inner Sphere,QKD-5K2,"['7', ['Medium Laser, Left Arm', 'Medium Laser, Right Torso', 'Medium Laser, Right Torso', 'Medium Laser, Left Torso', 'Medium Laser, Left Torso', 'Medium Laser, Right Arm', 'SRM 4, Center Torso']]"
Ostroc OSR-2C,Standard(Inner Sphere),144,Biped,300, Fusion Engine(IS),2511,15 Single,60,Standard,Ostroc,1,TRO 3039 - Age of War,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",IS Standard,Inner Sphere,OSR-2C,"['5', ['Large Laser, Left Torso', 'Medium Laser, Left Torso', 'Large Laser, Right Torso', 'Medium Laser, Right Torso', 'SRM 4, Right Torso']]"
Ostroc OSR-2Cb,Ferro-Fibrous(Inner Sphere),161,Biped,300, Fusion Engine,2729,14 Double,60,Standard,Ostroc,2,TRO 3075,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",Standard,Inner Sphere,OSR-2Cb,"['6', ['Medium Laser, Left Torso', 'Medium Laser, Right Torso', 'ER Large Laser, Left Torso', 'ER Large Laser, Right Torso', 'Streak SRM 2, Left Torso', 'Streak SRM 2, Right Torso']]"
Ostroc OSR-2D,Standard(Inner Sphere),144,Biped,300, Fusion Engine(IS),3050,15 Double,60,Standard,Ostroc,2,Clan Invasion,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",Standard,Inner Sphere,OSR-2D,"['5', ['ER Large Laser, Left Torso', 'Medium Laser, Left Torso', 'ER Large Laser, Right Torso', 'Medium Laser, Right Torso', 'SRM 4, Right Torso']]"
Ostroc OSR-2L,Standard(Inner Sphere),144,Biped,300, Fusion Engine,2884,15 Single,60,Standard,Ostroc,1,TRO 3039 - Succession Wars,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",Standard,Inner Sphere,OSR-2L,"['5', ['Large Laser, Left Torso', 'Large Laser, Right Torso', 'Medium Laser, Right Torso', 'Medium Laser, Left Torso', 'LRM 5, Right Torso']]"
Thresher,Standard(Clan),152,Biped,300, XL (Clan) Engine,2849,13 Double,60,Standard,Thresher,2,TRO 3058 - Succession Wars,"{'Walk': 5, 'Run': 8, 'Jump': '5'}",Endo Steel,Clan,(Standard),"['6', ['SRM 6, Left Arm', 'Medium Pulse Laser, Left Arm', 'SRM 6, Right Arm', 'Medium Pulse Laser, Right Arm', 'ER Medium Laser, Left Torso', 'Ultra AC/10, Right Torso']]"
Ostsol OTL-7M,Standard(Inner Sphere),168,Biped,300, XL Engine,3065,10 Double,60,Standard,Ostsol,2,Civil War,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",Endo Steel,Inner Sphere,OTL-7M,"['6', ['Light Gauss Rifle, Left Torso', 'ER Medium Laser, Left Torso', 'ER Medium Laser, Left Torso', 'Light Gauss Rifle, Right Torso', 'ER Medium Laser, Right Torso', 'ER Medium Laser, Right Torso']]"
Ostsol OTL-6D,Ferro-Fibrous(Inner Sphere),201,Biped,300, XL Engine(IS),3064,14 Double,60,Triple-Strength,Ostsol,2,Civil War,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",Standard,Inner Sphere,OTL-6D,"['8', ['ER Large Laser, Left Torso', 'ER Medium Laser, Left Torso', 'ER Large Laser, Right Torso', 'Medium Pulse Laser, Right Torso', 'ER Medium Laser, Right Torso', 'Small Pulse Laser, Center Torso', 'Small Pulse Laser, Center Torso', 'Medium Pulse Laser, Head']]"
Ostsol OTL-5M,Standard(Inner Sphere),144,Biped,300, XL Engine(IS),3050,16 Double,60,Standard,Ostsol,2,Clan Invasion,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",Standard,Inner Sphere,OTL-5M,"['7', ['Large Pulse Laser, Left Torso', 'Medium Pulse Laser, Left Torso', 'Large Pulse Laser, Right Torso', 'Medium Pulse Laser, Right Torso', 'AMS, Right Torso', 'Medium Pulse Laser, Center Torso', 'Medium Pulse Laser, Center Torso']]"
Ostsol OTL-5D,Ferro-Fibrous(Inner Sphere),152,Biped,300, Fusion Engine(IS),3065,16 Single,60,Standard,Ostsol,2,Civil War,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",Standard,Inner Sphere,OTL-5D,"['9', ['Large Laser, Left Torso', 'Medium Laser, Left Torso', 'Rocket Launcher 10, Left Torso', 'Rocket Launcher 10, Left Torso', 'Large Laser, Right Torso', 'Medium Laser, Right Torso', 'Rocket Launcher 10, Right Torso', 'Rocket Launcher 10, Right Torso', 'Rocket Launcher 10, Center Torso']]"
Ostsol OTL-4F,Standard(Inner Sphere),144,Biped,300, Fusion Engine,2871,16 Single,60,Standard,Ostsol,1,TRO 3039 - Succession Wars,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",Standard,Inner Sphere,OTL-4F,"['2', ['PPC, Left Torso', 'PPC, Right Torso']]"
Ostsol OTL-4D,Standard(Inner Sphere),144,Biped,300, Fusion Engine(IS),2694,16 Single,60,Standard,Ostsol,1,TRO 3039 - Star League,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",Standard,Inner Sphere,OTL-4D,"['6', ['Large Laser, Left Torso', 'Medium Laser, Left Torso', 'Large Laser, Right Torso', 'Medium Laser, Right Torso', 'Medium Laser, Center Torso', 'Medium Laser, Center Torso']]"
Ostroc OSR-2M,Standard(Inner Sphere),144,Biped,300, Fusion Engine,2793,15 Single,60,Standard,Ostroc,1,TRO 3039 - Succession Wars,"{'Walk': 5, 'Run': 8, 'Jump': '5'}",Standard,Inner Sphere,OSR-2M,"['2', ['Large Laser, Left Torso', 'Large Laser, Right Torso']]"
Ostroc OSR-3C,Standard(Inner Sphere),144,Biped,300, Fusion Engine,2876,15 Single,60,Standard,Ostroc,1,TRO 3039 - Succession Wars,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",Standard,Inner Sphere,OSR-3C,"['3', ['Large Laser, Left Torso', 'Large Laser, Right Torso', 'Large Laser, Right Torso']]"
Ostroc OSR-4C,Ferro-Fibrous(Inner Sphere),161,Biped,300, Fusion Engine(IS),3066,15 Single,60,Standard,Ostroc,2,Civil War,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",Standard,Inner Sphere,OSR-4C,"['8', ['Large Laser, Left Torso', 'Medium Laser, Left Torso', 'Rocket Launcher 15, Left Torso', 'Rocket Launcher 10, Left Torso', 'Large Laser, Right Torso', 'Medium Laser, Right Torso', 'Rocket Launcher 15, Right Torso', 'Rocket Launcher 10, Right Torso']]"
Ostroc OSR-4K,Standard(Inner Sphere),152,Biped,240, Fusion Engine(IS),3077,11 Double,60,Standard,Ostroc,2,Jihad,"{'Walk': 4, 'Run': 6, 'Jump': '6'}",Endo Steel,Inner Sphere,OSR-4K,"['4', ['Snub-Nose PPC, Left Torso', 'ER Medium Laser, Left Torso', 'Snub-Nose PPC, Right Torso', 'ER Medium Laser, Right Torso']]"
Ostroc OSR-4L,Stealth(Inner Sphere),168,Biped,300, Fusion Engine(IS),3066,13 Double,60,Standard,Ostroc,2,Civil War,"{'Walk': 5, 'Run': 8, 'Jump': '5'}",Endo Steel,Inner Sphere,OSR-4L,"['4', ['ER Large Laser, Left Torso', 'ER Medium Laser, Left Torso', 'ER Large Laser, Right Torso', 'ER Medium Laser, Right Torso']]"
Ti Tsang TSG-9 China Doll,Standard Armor,200,Biped,300, XL Fusion Engine,3067,12 Double,60,Standard,Ti Ts'ang,4,,"{'Walk': 5, 'Run': 8, 'Jump': '8'}",Endo-Steel,Inner Sphere,TSG-9 'China Doll',"['8', ['1 Hatchet, Right Arm', '1 ISERMediumLaser, Left Torso', '1 ISERSmallLaser, Left Arm', '1 ISERSmallLaser, Left Arm', '1 ISERMediumLaser, Left Arm', '1 ISERMediumLaser, Left Torso', '1 ISERMediumLaser, Right Torso', '1 ISERMediumLaser, Right Torso']]"
Ostsol OTL-8M,Standard(Inner Sphere),176,Biped,360, XL Engine,3066,11 Double,60,Triple-Strength,Ostsol,2,Civil War,"{'Walk': 6, 'Run': 9, 'Jump': '0'}",Endo Steel,Inner Sphere,OTL-8M,"['7', ['Large Pulse Laser, Left Torso', 'Medium Pulse Laser, Left Torso', 'Medium Pulse Laser, Left Torso', 'PPC, Right Torso', 'Medium Pulse Laser, Right Torso', 'ER Medium Laser, Center Torso', 'ER Small Laser, Center Torso']]"
Ostsol OTL-9M,Ferro-Fibrous(Inner Sphere),179,Biped,360, XL Engine(IS),3079,14 Double,60,Standard,Ostsol,2,Jihad,"{'Walk': 6, 'Run': 9, 'Jump': '0'}",Endo Steel,Inner Sphere,OTL-9M,"['5', ['ER Large Laser, Left Torso', 'ER Medium Laser, Left Torso', 'Snub-Nose PPC, Right Torso', 'ER Medium Laser, Right Torso', 'Medium Pulse Laser, Head']]"
Notos Prime,Standard(Inner Sphere),200,QuadVee Omnimech,300, XL (Clan) Engine(IS),3145,s Heat Sinks:10,60,Standard,Notos,3,XTRO Republic III - Late Republic,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",Clan Endo Steel,Clan,Prime,"['5', ['Medium Pulse Laser, Right Torso', 'Medium Pulse Laser, Right Torso', 'Medium Pulse Laser, Center Torso', 'Medium Pulse Laser, Left Torso', 'Medium Pulse Laser, Left Torso']]"
Vulture (Mad Dog) F,Ferro-Fibrous(Clan),163,Biped Omnimech,300, XL (Clan) Engine(IS),3069,s Heat Sinks:12,60,Standard,Vulture (Mad Dog),2,TRO 3050 - Jihad,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",IS Standard,Clan,F,"['6', ['HAG/20, Left Arm', 'HAG/20, Right Arm', 'ER Medium Laser, Left Torso', 'ER Medium Laser, Left Torso', 'ER Medium Laser, Right Torso', 'ER Medium Laser, Right Torso']]"
Vulture (Mad Dog) E,Ferro-Fibrous(Clan),163,Biped Omnimech,300, XL (Clan) Engine(IS),3069,s Heat Sinks:12,60,Standard,Vulture (Mad Dog),2,TRO 3050 - Jihad,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",IS Standard,Clan,E,"['2', ['HAG/30, Left Arm', 'HAG/30, Right Arm']]"
Vulture (Mad Dog) D,Ferro-Fibrous(Clan),163,Biped Omnimech,300, XL (Clan) Engine(IS),3054,s Heat Sinks:12,60,Standard,Vulture (Mad Dog),2,TRO 3050 - Clan Invasion,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",IS Standard,Clan,D,"['8', ['ER Medium Laser, Left Arm', 'ER Small Laser, Left Arm', 'ER Medium Laser, Right Arm', 'ER Small Laser, Right Arm', 'ATM 12, Left Torso', 'ATM 12, Right Torso', 'Medium Pulse Laser, Center Torso', 'Medium Pulse Laser, Center Torso']]"
Vulture (Mad Dog) C,Ferro-Fibrous(Clan),163,Biped Omnimech,300, XL (Clan) Engine(IS),2963,s Heat Sinks:12,60,Standard,Vulture (Mad Dog),2,TRO 3050 - Succession Wars,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",IS Standard,Clan,C,"['2', ['Gauss Rifle, Left Arm', 'Gauss Rifle, Right Arm']]"
Vulture (Mad Dog) B,Ferro-Fibrous(Clan),163,Biped Omnimech,300, XL (Clan) Engine(IS),2963,s Heat Sinks:12,60,Standard,Vulture (Mad Dog),2,TRO 3050 - Succession Wars,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",IS Standard,Clan,B,"['8', ['ER Large Laser, Left Arm', 'ER Large Laser, Left Arm', 'Medium Pulse Laser, Right Arm', 'Medium Pulse Laser, Right Arm', 'Medium Pulse Laser, Right Arm', 'LRM 20, Left Torso', 'Streak SRM 6, Right Torso', 'Streak SRM 6, Right Torso']]"
Vulture (Mad Dog) A,Ferro-Fibrous(Clan),163,Biped Omnimech,300, XL (Clan) Engine(IS),2963,s Heat Sinks:12,60,Standard,Vulture (Mad Dog),2,TRO 3050 - Succession Wars,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",IS Standard,Clan,A,"['8', ['LB 5-X AC, Left Arm', 'ER PPC, Right Arm', 'SRM 6, Left Torso', 'SRM 6, Left Torso', 'SRM 6, Left Torso', 'SRM 6, Right Torso', 'SRM 6, Right Torso', 'SRM 6, Right Torso']]"
Matador,Standard(Clan),192,Biped,240, Fusion (Clan) Engine,2846,12 Double,60,Standard,Matador,2,TRO 3060,"{'Walk': 4, 'Run': 6, 'Jump': '4'}",Standard,Clan,(Standard),"['13', ['Medium Pulse Laser, Left Arm', 'Medium Pulse Laser, Left Arm', 'Medium Pulse Laser, Left Arm', 'Machine Gun, Left Arm', 'Machine Gun, Left Arm', 'Machine Gun, Right Arm', 'Machine Gun, Right Arm', 'ER Medium Laser, Left Torso', 'ER Medium Laser, Left Torso', 'Streak SRM 6, Right Torso', 'Small Pulse Laser, Center Torso', 'Small Pulse Laser, Center Torso', 'Streak SRM 4, Head']]"
Matador 2,Standard(Clan),192,Biped,240, Fusion (Clan) Engine,3069,15 Double,60,Standard,Matador,2,TRO 3060,"{'Walk': 4, 'Run': 6, 'Jump': '4'}",Standard,Clan,2,"['7', ['Heavy Medium Laser, Left Arm', 'Heavy Medium Laser, Left Arm', 'Heavy Medium Laser, Left Arm', 'AP Gauss Rifle, Right Arm', 'AP Gauss Rifle, Right Arm', 'AP Gauss Rifle, Right Arm', 'ATM 9, Right Torso']]"
Merlin MLN-1A,Standard((Unknown Technology Base)),168,Biped,240, Fusion Engine,3010,18 Single,60,Standard,Merlin,1,TRO 3058 - Succession Wars,"{'Walk': 4, 'Run': 6, 'Jump': '4'}",Standard,Inner Sphere,MLN-1A,"['6', ['Medium Laser, Left Arm', 'Medium Laser, Right Arm', 'Machine Gun, Left Torso', 'Flamer, Left Torso', 'Particle Cannon, Right Torso', 'LRM 5, Right Torso']]"
Merlin MLN-1B,Standard((Unknown Technology Base)),168,Biped,240, Fusion Engine,3053,19 Single,60,Standard,Merlin,1,TRO 3058 - Clan Invasion,"{'Walk': 4, 'Run': 6, 'Jump': '4'}",Standard,Inner Sphere,MLN-1B,"['5', ['Medium Laser, Left Arm', 'Medium Laser, Right Arm', 'Flamer, Left Torso', 'Particle Cannon, Right Torso', 'LRM 5, Right Torso']]"
Merlin MLN-1C,Standard(Inner Sphere),168,Biped,240, Fusion Engine,3068,19 Single,60,Standard,Merlin,2,TRO 3058 - Jihad,"{'Walk': 4, 'Run': 6, 'Jump': '4'}",Standard,Inner Sphere,MLN-1C,"['5', ['Flamer, Left Torso', 'Particle Cannon, Right Torso', 'LRM 5, Right Torso', 'ER Medium Laser, Left Arm', 'ER Medium Laser, Right Arm']]"
Vulture (Mad Dog) Prime,Ferro-Fibrous(Clan),163,Biped Omnimech,300, XL (Clan) Engine(IS),2963,s Heat Sinks:12,60,Standard,Vulture (Mad Dog),2,TRO 3050 - Succession Wars,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",IS Standard,Clan,Prime,"['6', ['Large Pulse Laser, Left Arm', 'Medium Pulse Laser, Left Arm', 'Large Pulse Laser, Right Arm', 'Medium Pulse Laser, Right Arm', 'LRM 20, Left Torso', 'LRM 20, Right Torso']]"
Merlin Porter,Standard Armor,200,Biped,240, Fusion Engine,3064,20 Single,60,Standard,Merlin,2,,"{'Walk': 4, 'Run': 6, 'Jump': '4'}",Standard,Inner Sphere,MLN-1B (Porter),"['4', ['1 ISMediumLaser, Left Arm', '1 ISMediumLaser, Right Arm', '1 ISLargeLaser, Right Torso', '1 ISSRM4, Left Torso, Ammo:25']]"
Shadow Cat II,Ferro-Fibrous(Clan),144,Biped,360, XL (Clan) Engine,3076,10 Double,60,Standard,Shadow Cat II,2,Jihad,"{'Walk': 6, 'Run': 9, 'Jump': '6'}",Endo Steel,Clan,(Standard),"['4', ['ER Medium Laser, Right Torso', 'LRM 10, Right Torso', 'LRM 10, Left Torso', 'HAG/20, Right Arm']]"
Shadow Cat II 2,Ferro-Fibrous(Clan),144,Biped,360, XL (Clan) Engine,3077,11 Double,60,Standard,Shadow Cat II,4,Jihad,"{'Walk': 6, 'Run': 9, 'Jump': '6'}",Endo Steel,Clan,2,"['4', ['LRM 10, Left Torso', 'LRM 10, Right Torso', 'ER Large Pulse Laser, Right Arm', 'ER Medium Pulse Laser, Right Torso']]"
Paladin PAL-3,Ferro-Fibrous(Inner Sphere),188,Biped,360, XXL Engine,3068,10 Double,60,Standard,Paladin,4,TRO 3055 - Jihad,"{'Walk': 6, 'Run': 9, 'Jump': '0'}",Reinforced,Inner Sphere,PAL-3,"['6', ['Ultra AC/20, Left Arm', 'Medium X-Pulse Laser, Right Arm', 'Machine Gun, Left Torso', 'Machine Gun, Left Torso', 'Machine Gun, Left Torso', 'Machine Gun, Left Torso']]"
Paladin PAL-2,Light Ferro-Fibrous(Inner Sphere),201,Biped,360, XXL Engine,3068,11 Double,60,Triple-Strength,Paladin,4,TRO 3055 - Jihad,"{'Walk': 6, 'Run': 9, 'Jump': '6'}",Composite,Inner Sphere,PAL-2,"['4', ['Rotary AC/2, Left Arm', 'Medium X-Pulse Laser, Right Arm', 'Streak SRM 6, Left Torso', 'Streak SRM 4, Left Torso']]"
Paladin PAL-1,Ferro-Fibrous(Inner Sphere),197,Biped,300, Fusion Engine,3053,10 Double,60,Standard,Paladin,2,TRO 3055 - Clan Invasion,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",Endo Steel,Inner Sphere,PAL-1,"['11', ['Machine Gun, Left Arm', 'Machine Gun, Left Arm', 'Machine Gun, Left Arm', 'Machine Gun, Left Arm', 'Machine Gun, Left Arm', 'Machine Gun, Left Arm', 'Machine Gun, Left Arm', 'Large Pulse Laser, Right Arm', 'SRM 6, Left Torso', 'Streak SRM 2, Left Torso', 'Streak SRM 2, Left Torso']]"
Spatha SP1-X,Reflective(Inner Sphere),176,Biped,360, XXL Engine,3067,13 Double,60,Triple-Strength,Spatha,4,TRO 3055 - Civil War,"{'Walk': 6, 'Run': 9, 'Jump': '0'}",Standard,Inner Sphere,SP1-X,"['5', ['ER PPC, Left Arm', 'Medium X-Pulse Laser, Head', 'Medium X-Pulse Laser, Right Torso', 'Laser AMS, Center Torso', 'Streak SRM 6, Left Arm']]"
Ostsol OTL-9R,Standard(Inner Sphere),192,Biped,180, Fusion Engine(IS),3077,14 Double,60,Triple-Strength,Ostsol,2,Jihad,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",Standard,Inner Sphere,OTL-9R,"['6', ['Heavy PPC, Left Torso', 'Small Laser, Left Torso', 'Snub-Nose PPC, Right Torso', 'ER Medium Laser, Right Torso', 'ER Small Laser, Right Torso', 'Large Laser, Center Torso']]"
Notos A,Standard(Inner Sphere),200,QuadVee Omnimech,300, XL (Clan) Engine(IS),3145,s Heat Sinks:10,60,Standard,Notos,3,XTRO Republic III - Late Republic,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",Clan Endo Steel,Clan,A,"['3', ['HAG/20, Right Torso', 'ER Small Laser, Left Torso', 'ER Small Laser, Left Torso']]"
Notos B,Standard(Inner Sphere),200,QuadVee Omnimech,300, XL (Clan) Engine(IS),3145,s Heat Sinks:10,60,Standard,Notos,3,XTRO Republic III - Late Republic,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",Clan Endo Steel,Clan,B,"['4', ['LRM 15, Left Torso', 'LRM 15, Right Torso', 'ER Medium Laser, Center Torso', 'ER Medium Laser, Center Torso']]"
Notos C,Standard(Inner Sphere),200,QuadVee Omnimech,300, XL (Clan) Engine(IS),3145,s Heat Sinks:10,60,Standard,Notos,3,XTRO Republic III - Late Republic,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",Clan Endo Steel,Clan,C,"['8', ['Improved Heavy Medium Laser, Right Torso', 'Improved Heavy Medium Laser, Left Torso', 'SRM 6, Right Torso', 'SRM 6, Center Torso', 'SRM 6, Left Torso', 'AP Gauss Rifle, Right Torso', 'AP Gauss Rifle, Left Torso', 'Light TAG, Left Torso']]"
Notos D,Standard(Inner Sphere),200,QuadVee Omnimech,300, XL (Clan) Engine(IS),3145,s Heat Sinks:10,60,Standard,Notos,3,XTRO Republic III - Late Republic,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",Clan Endo Steel,Clan,D,"['2', ['ER Large Laser, Center Torso', 'ER Large Laser, Center Torso']]"
Ostroc OSR-5W,Ferro-Fibrous(Inner Sphere),201,Biped,300, Light Engine(IS),3070,13 Double,60,Standard,Ostroc,2,Jihad,"{'Walk': 5, 'Run': 8, 'Jump': '5'}",Endo Steel,Inner Sphere,OSR-5W,"['4', ['Snub-Nose PPC, Left Torso', 'ER Medium Laser, Left Torso', 'Snub-Nose PPC, Right Torso', 'ER Medium Laser, Right Torso']]"
Quickdraw QKD-5M,Ferro-Fibrous,143,Biped,300, Fusion Engine,3049,13 Double,60,Standard,Quickdraw,2,TRO 3050 - Clan Invasion,"{'Walk': 5, 'Run': 8, 'Jump': '5'}",Standard,Inner Sphere,QKD-5M,"['5', ['1 ISLRM10, Left Torso, Ammo:12', '1 ISSRM4 (OS), Center Torso', '2 ISMediumLaser, Right Torso (R)', '1 ISMediumLaser, Left Arm', '1 ISMediumLaser, Right Arm']]"
Kuma,Ferro-Fibrous(Clan),201,Biped,360, XL (Clan) Engine,3082,11 Double,60,Standard,Kuma,2,Dark Age,"{'Walk': 6, 'Run': 9, 'Jump': '8'}",Endo Steel,Clan,(Standard),"['3', ['Heavy Large Laser, Left Arm', 'ER Medium Laser, Right Arm', 'ER Medium Laser, Right Arm']]"
Grand Dragon DRG-C,Standard Armor,160,Biped,360, XL Engine,3050,13 Double,60,Standard,Grand Dragon,2,TRO 3050 - Clan Invasion,"{'Walk': 6, 'Run': 9, 'Jump': '0'}",Standard,Inner Sphere,DRG-C,"['5', ['1 ISLRM10, Center Torso, Ammo:24', '1 ISERPPC, Right Arm', '1 ISMediumLaser, Left Arm', '1 ISMediumLaser, Left Torso (R)', '1 ISC3SlaveUnit, Right Torso']]"
Daedalus GTX2A Stevedore,Standard Armor,152,Quad,240, Fusion Engine,2750,10 Single,60,Standard,Daedalus,2,,"{'Walk': 4, 'Run': 6, 'Jump': '0'}",Industrial,Inner Sphere,GTX2A 'Stevedore',"['17', ['1 Lift Hoist, Right Torso', '1 Lift Hoist, Left Torso', '1 Cargo (1 ton), Left Torso', '1 Cargo (1 ton), Left Torso', '1 Cargo (1 ton), Left Torso', '1 Cargo (1 ton), Left Torso', '1 Cargo (1 ton), Left Torso', '1 Cargo (1 ton), Left Torso', '1 Cargo (1 ton), Left Torso', '1 Cargo (1 ton), Right Torso', '1 Cargo (1 ton), Right Torso', '1 Cargo (1 ton), Right Torso', '1 Cargo (1 ton), Right Torso', '1 Cargo (1 ton), Right Torso', '1 Cargo (1 ton), Right Torso', '1 Cargo (1 ton), Right Torso', '1 Cargo (1 ton), Right Torso']]"
Daedalus GTX2B Navvy,Standard Armor,152,Quad,240, Fusion Engine,2750,10 Single,60,Standard,Daedalus,2,,"{'Walk': 4, 'Run': 6, 'Jump': '0'}",Industrial,Inner Sphere,GTX2B 'Navvy',"['9', ['1 Lift Hoist, Right Torso', '1 Lift Hoist, Left Torso', '1 Cargo (1 ton), Left Torso', '1 Cargo (1 ton), Left Torso', '1 Cargo (1 ton), Right Torso', '1 Cargo (1 ton), Right Torso', '1 Cargo (1 ton), Right Torso', '1 Backhoe, Left Torso', '1 Rock Cutter, Right Torso']]"
Argus AGS-8DX,Standard(Inner Sphere),192,Biped,300, XL Engine(IS),3074,12 Double,60,Standard,Argus,4,Jihad,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",Endo Steel,Inner Sphere,AGS-8DX,"['4', ['MML 7, Left Arm', 'Rotary AC/5, Right Arm', 'ER Medium Laser, Left Torso', 'ER Medium Laser, Right Torso']]"
Argus AGS-6F,Light Ferro-Fibrous,195,Biped,300, Light Fusion Engine,3078,10 Double,60,Standard,Argus,2,,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",Endo-Steel,Inner Sphere,AGS-6F,"['4', ['1 ISERMediumLaser, Left Torso', '1 ISERMediumLaser, Right Torso', '1 ISAC20, Right Arm, Ammo:20', '1 ISSRM6, Left Arm, Ammo:15']]"
Argus AGS-5D,Light Ferro-Fibrous,201,Biped,300, XL Fusion Engine,3071,11 Double,60,ISMASC,Argus,2,,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",Endo-Steel,Inner Sphere,AGS-5D,"['6', ['1 ISC3SlaveUnit, Head', '1 ISMediumLaser, Right Torso', '1 ISMediumLaser, Left Torso', '1 ISHeavyPPC, Right Arm', '1 ISStreakSRM6, Left Arm, Ammo:30', '1 ISStreakSRM6, Left Arm']]"
Argus AGS-4D,Standard Armor,192,Biped,300, XL Engine,3062,12 Double,60,Standard,Argus,2,,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",Endo Steel,Inner Sphere,AGS-4D,"['6', ['1 ISRotaryAC5, Right Arm, Ammo:40', '1 ISMachine Gun, Right Arm, Ammo:100', '1 ISLRM10, Left Arm, Ammo:24', '1 ISERMediumLaser, Right Torso', '1 ISERMediumLaser, Left Torso', '1 ISBeagleActiveProbe, Left Torso']]"
